id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
3350e161-e4ae-4f9d-9451-99e21791a219,0,上汽通用,别克,上汽通用是别克品牌的制造商,8.0,10,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
7c45969f-b98f-403b-93e2-2eecfa012b22,1,上汽通用,质量投诉,上汽通用涉及的质量投诉与君威车型的变速箱异响问题有关,8.0,9,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
3e26d4fe-3c08-4362-9529-5cc66b52c4e5,2,别克,君威,君威是别克品牌的一款车型,9.0,11,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
82271def-1ad0-4ea5-92cc-8ea1b609fc79,3,别克,质量投诉,别克品牌的君威车型因变速箱异响问题引发了质量投诉,8.0,15,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
3ddb2d22-807e-41a7-96ca-d11d947070ed,4,君威,变速箱,君威车型的变速箱存在异响问题,8.0,5,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
e5214a22-abee-4c95-ac28-04d18df1141a,5,君威,质量投诉,消费者对君威车型的变速箱异响问题提出了质量投诉,9.0,10,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
c303b3fd-223c-4df9-af33-5e1b0b0a3930,6,变速箱,变速器总成,变速器总成是变速箱的主要组成部分,7.0,3,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
da6a80a7-ecb2-47e0-8f11-b2504766d762,7,变速箱异响,三包期内免费更换变速箱,维修措施旨在解决变速箱异响问题,9.0,5,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
7be2559c-15ce-4b8d-ac5e-d0cc9380a335,8,变速箱异响,HTTP://CLUB.AUTOHOME.COM.CN/BBS/THREAD-123456-1.HTML,链接提供了关于变速箱异响问题的详细信息,1.0,5,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
f5e77906-165b-45b5-9680-9c5fef7c16a1,9,变速箱异响,质量投诉,质量投诉的核心问题是变速箱异响,10.0,10,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
2cf396eb-d859-48a9-9f58-0801e1ecc27f,10,三包期内免费更换变速箱,质量投诉,维修措施是针对消费者提出的质量投诉而制定的,8.0,9,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
4b73c8ea-44be-47d7-8e07-17699f3d8174,11,HTTP://CLUB.AUTOHOME.COM.CN/BBS/THREAD-123456-1.HTML,质量投诉,链接提供了关于质量投诉的详细信息,1.0,9,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
45757fbd-3969-496a-8232-295c72f377fa,12,汽车之家,质量投诉,汽车之家是消费者发布质量投诉的平台,8.0,9,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
d7087d60-6030-471d-ab0e-f94c1e91f695,13,汽车之家,汽车论坛,汽车之家是一个汽车论坛，提供消费者讨论汽车问题的空间,7.0,3,['5f3f9a8b3151090ecb319c3cd437bb77cde2d52335fab5f971073f208cd4cc0831822c5f4476b9cb9a1ab33cbc23618c9806ddd60083c4d30770ddb29f2a701f']
80c61925-e8f7-4d23-9cb1-f068b3ed18b3,14,一汽-大众汽车有限公司,奥迪,一汽-大众汽车有限公司是奥迪品牌车型的制造商,9.0,6,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
911fe248-b90c-4ba1-9d21-47c718900aa7,15,奥迪,A4L,A4L是奥迪品牌的一款车型,8.0,6,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
32de9821-9f7f-4ff9-8be9-297c8fe5f4ee,16,奥迪,A6L,A6L是奥迪品牌的一款车型,8.0,4,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
0fb82d99-d191-47d9-9468-2a0abe01b974,17,A4L,2021款40TFSI豪华型,2021款40TFSI豪华型是A4L车型的具体型号,9.0,4,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
42bc891c-3277-4b59-ac39-bf3cd083b3f7,18,A4L,2022款45TFSI QUATTRO尊享型,2022款45TFSI quattro尊享型是A4L车型的具体型号,9.0,4,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
b4657163-b9ed-4f45-8da5-03fc2d06a0e6,19,发动机冷却系统,水泵密封不良,发动机冷却系统可能存在水泵密封不良问题,7.0,7,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
9f12c8a9-94ca-478d-8845-d049e76f9ae0,20,发动机冷却系统,动力系统,发动机冷却系统是动力系统的一部分,8.0,4,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
0843eb43-715e-4e5e-a33e-c017ef96260c,21,发动机冷却系统,发动机过热,发动机冷却系统的问题可能导致发动机过热,7.0,5,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
bda49c89-acac-40ed-b5f3-f5f19f7569b2,22,水泵密封不良,更换水泵总成并升级冷却系统控制软件,更换水泵总成并升级冷却系统控制软件是解决水泵密封不良问题的维修措施,1.0,6,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
3caf3126-9d11-4059-a8ab-b85438db0275,23,水泵密封不良,发动机过热,水泵密封不良可能导致发动机过热,8.0,6,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
9a40377a-35ea-445d-b023-65cddf05cd61,24,水泵密封不良,质量索赔,水泵密封不良问题被归类为质量索赔,6.0,6,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
9bd0aa87-11ed-4129-9e4f-60cabe198427,25,更换水泵总成并升级冷却系统控制软件,A0234(G521)-发动机冷却系统改进_技术公告.PDF,该技术公告详细说明了维修措施,8.0,4,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
08d43795-5e02-40b7-9e6b-5e0326cf8491,26,A0234(G521)-发动机冷却系统改进_技术公告.PDF,2022-10-05,2022-10-05是技术公告的发布日期,1.0,3,['734af468c2bd632731272aafd345f9d363bcf4838aea938f2ef779277c44722be9f6bdc5dbcde6618286d75a7b3ce5d7627f9c3d694f40e5d62bf7c2fdb4124d']
35b9fdec-1986-43ed-9847-6b18cf1191b2,27,北京嘀嘀无限科技发展有限公司,滴滴打车服务,北京嘀嘀无限科技发展有限公司提供滴滴打车服务,9.0,4,['7ada511b6bbcd05aa7aae844d88c3e8a2e58d7c50137dfa2b6b8e5d9532a399b7e3b9d8c529b6ee837ce91c5c57c1e34eb3769c65ad06837ce5a181afcb5c9c8']
11538048-8833-4b6b-a7e9-a2b76dbff2e9,28,滴滴打车服务,服务态度与收费问题,滴滴打车服务中存在服务态度与收费问题，导致消费者投诉,8.0,8,['7ada511b6bbcd05aa7aae844d88c3e8a2e58d7c50137dfa2b6b8e5d9532a399b7e3b9d8c529b6ee837ce91c5c57c1e34eb3769c65ad06837ce5a181afcb5c9c8']
c7914180-eb12-49ac-99a2-91afc88430d8,29,滴滴打车服务,网约车服务,滴滴打车服务属于网约车服务类别,1.0,4,['7ada511b6bbcd05aa7aae844d88c3e8a2e58d7c50137dfa2b6b8e5d9532a399b7e3b9d8c529b6ee837ce91c5c57c1e34eb3769c65ad06837ce5a181afcb5c9c8']
f378f762-2711-45e1-b88a-d31c0e654563,30,服务态度与收费问题,司机故意绕路,司机故意绕路是服务态度与收费问题的一部分,7.0,7,['7ada511b6bbcd05aa7aae844d88c3e8a2e58d7c50137dfa2b6b8e5d9532a399b7e3b9d8c529b6ee837ce91c5c57c1e34eb3769c65ad06837ce5a181afcb5c9c8']
83426a36-f894-440c-8fe2-f7f601ec7ef0,31,服务态度与收费问题,司机态度恶劣,司机态度恶劣是服务态度与收费问题的一部分,7.0,7,['7ada511b6bbcd05aa7aae844d88c3e8a2e58d7c50137dfa2b6b8e5d9532a399b7e3b9d8c529b6ee837ce91c5c57c1e34eb3769c65ad06837ce5a181afcb5c9c8']
b7db68e2-a66f-47f9-b7a7-5d100e8814fb,32,服务态度与收费问题,退还多收费用,退还多收费用是解决服务态度与收费问题的措施之一,8.0,7,['7ada511b6bbcd05aa7aae844d88c3e8a2e58d7c50137dfa2b6b8e5d9532a399b7e3b9d8c529b6ee837ce91c5c57c1e34eb3769c65ad06837ce5a181afcb5c9c8']
a77957c5-9db6-43b6-a201-0e968d680b36,33,服务态度与收费问题,赔偿,赔偿是解决服务态度与收费问题的措施之一,1.0,7,['7ada511b6bbcd05aa7aae844d88c3e8a2e58d7c50137dfa2b6b8e5d9532a399b7e3b9d8c529b6ee837ce91c5c57c1e34eb3769c65ad06837ce5a181afcb5c9c8']
60ddffa9-fc63-4efd-9ea2-bcb1fad9b972,34,司机故意绕路,王**,王**投诉滴滴打车服务中司机故意绕路问题,8.0,6,['7ada511b6bbcd05aa7aae844d88c3e8a2e58d7c50137dfa2b6b8e5d9532a399b7e3b9d8c529b6ee837ce91c5c57c1e34eb3769c65ad06837ce5a181afcb5c9c8']
