故障标签二级,故障标签一级,故障等级,二级关键词,关键词(字母不区分大小写),消费品/汽车相关,产品类别
电池故障,电源问题,高,,电池故障 电量不足 无法充电 电池鼓包 电池漏液,消费品,电子电器
屏幕损坏,显示问题,中,,屏幕破裂 花屏 黑屏 显示异常 触摸失灵,消费品,电子电器
制动失灵,刹车系统,高,,刹车失灵 制动距离长 刹车异响 abs故障 刹车泵故障,汽车相关,底盘系统
信号弱,连接问题,低,,信号差 连接断开 网络不稳定 蓝牙连接失败 wifi信号弱,消费品,电子电器
漏水,密封问题,中,,漏水 渗水 进水 密封不严 防水失效,消费品,家用电器
异响,噪音问题,低,,异响 噪音大 震动声 摩擦声 嗡嗡声,汽车相关,发动机系统
油耗高,燃油系统,中,,油耗高 耗油量大 燃油效率低 油耗异常 费油,汽车相关,发动机系统
死机,系统故障,中,,死机 卡顿 系统崩溃 无响应 蓝屏,消费品,电子电器
轮胎磨损,轮胎问题,中,,轮胎磨损 胎面不均 轮胎爆裂 轮胎鼓包 胎压异常,汽车相关,底盘系统
按键失灵,控制问题,低,,按键失灵 按钮卡住 触控失效 开关故障 按键脱落,消费品,电子电器
排气异常,尾气问题,中,,排气异常 尾气过多 黑烟 白烟 尾气超标,汽车相关,发动机系统
短路,电路问题,高,,短路 电路故障 线路老化 接触不良 电线损坏,消费品,电子电器
变速箱故障,传动系统,高,,变速箱故障 换挡困难 顿挫感 齿轮异响 自动挡失灵,汽车相关,传动系统
散热不良,过热,中,,散热不良 风扇故障 温度过高 散热器堵塞 热量积聚,消费品,电子电器
电瓶亏电,电源问题,中,,电瓶亏电 启动困难 电量不足 电瓶老化 充电故障,汽车相关,电子电器
漏油,密封问题,中,,漏油 油封损坏 油管破裂 接头松动 密封圈老化,汽车相关,发动机系统
程序崩溃,软件问题,中,,程序崩溃 软件bug 应用闪退 系统错误 运行异常,消费品,电子电器
转向沉重,转向系统,高,,转向沉重 方向盘转向困难 助力失效 转向异响 方向盘抖动,汽车相关,底盘系统
充电缓慢,电源问题,低,,充电缓慢 充电速度慢 不能快充 充电接口松动 充电器故障,消费品,电子电器
离合器打滑,传动系统,中,,离合器打滑 离合器异响 换挡困难 离合器磨损 离合器分离不彻底,汽车相关,传动系统
